Feature,Average Weight
gls,0.03430603570885649
ast,0.05125965121200989
pk,0.011924521261200374
pkatt,0.011924521261200341
sh,0.04278993949028878
sot,0.025548839794925265
crdy,0.020564688304268663
crdr,3.581648519925162e-17
touches,0.10655131702068459
tkl,0.02266416145145408
int,0.038740200095681736
blocks,0.04466415707663504
xg,0.05302203881318008
npxg,0.05759950289847109
xag,0.03669460497678586
sca,0.026726044782813582
gca,0.047039980802223325
cmp,0.14351501014581225
att,0.07751341614324492
prgp,0.025748707195422063
carries,0.049490546033992666
prgc,0.027444416284925995
succ,0.04426769924592285
